字	zi6
治	zi6
自	zi6
即	zik1
漬	zik1
癪	zik1
積	zik1
迹	zik1
值	zik6
直	zik6
櫼	zim1
毡	zin1
氈	zin1
𦟌	zin2
薦	zin3
纏	zin6
整	zing2
證	zing3
淨	zing6
靜	zing6
摺	zip3
唧	zit1
揤	zit1
擳	zit1
瀄	zit1
𡁶	zit1
截	zit6
橛	zit6
招	ziu1
焦	ziu1
蕉	ziu1
照	ziu3
噍	ziu6
摷	ziu6
趙	ziu6
𡁻	ziu6
咗	zo2
阻	zo2
坐	zo6
座	zo6
嗻	zoe1
朘	zoe1
着	zoek3
着	zoek6
將	zoeng1
張	zoeng1
長	zoeng2
仗	zoeng3
脹	zoeng3
賬	zoeng3
醬	zoeng3
載	zoi3
作	zok3
噈	zok6
鑿	zok6
䁓	zong1
裝	zong1
𥊙	zong1
漴	zong6
租	zou1
竈	zou3
做	zou6
造	zou6
捉	zuk1
粥	zuk1
濁	zuk6
贖	zuk6
盅	zung1
舂	zung1
鐘	zung1
粽	zung2
中	zung3
眾	zung3
種	zung3
縱	zung3
仲	zung6
重	zung6
豬	zyu1
煮	zyu2
住	zyu6
箸	zyu6
磚	zyun1
鑽	zyun1
轉	zyun2
轉	zyun3
轉	zyun6
啜	zyut2
啜	zyut3
吮	zyut5
阿	aa3
翳	ai3
曀	ai3
搋	caai1
搓	caai1
刺	cek3
赤	cek3
刺	cek6
赤	cek6
覘	daam1
