儿嬉	ji4 hei1
兄弟	hing1 dai6
充大头鬼	cung1 daai6 tau4 gwai2
先	sin1
先	sin1
先	sin1
先	sin1
先	sin1
先先	sin1 sin1
先头	sin1 tau4
先时	sin1 si4
先牌	sin1 paai4
先牌	sin1 paai2
先排	sin1 paai4
先排	sin1 paai2
先至	sin1 zi3
先至	sin1 zi3
先该	sin1 goi1
光	gwong1
光𥊼𥊼	gwong1 caang4 caang4
光劖劖	gwong1 caam4 caam4
光捋出	gwong1 lyut1 cyut1
光捋捋	gwong1 lyut1 lyut1
光暗制	gwong1 am3 zai3
光暗掣	gwong1 am3 zai3
光猛	gwong1 maang5
光瓦	gwong1 ngaa5
光管	gwong1 gun2
光脱脱	gwong1 tyut3 tyut3
光脱脱	gwong1 tyut3 tyut1
光脱脱	gwong1 tyut1 tyut3
光脱脱	gwong1 tyut1 tyut1
光身	gwong1 san1
光鲜	gwong1 sin1
克力架	haak1 lik6 gaa3
克力架	haak1 lik6 gaa2
克力架	hak1 lik6 gaa3
克力架	hak1 lik6 gaa2
免至	min5 zi3
兜	dau1
兜	dau1
兜	dau1
兜	dau1
兜㞘将	dau1 duk1 zoeng1
兜底将	dau1 dai2 zoeng1
兜踎	dau1 mau1
兜踎	dau6 mau1
兜踎	dau1 mau1
入	jap6
入	jap6
入便	jat6 bin6
入去	jap6 heoi3
入味	jap6 mei6
入嚟	jap6 lai4
入地金牛	jap6 dei6 gam1 ngau4
入墙柜	jap6 coeng4 gwai6
入息	jap6 sik1
入息	jap6 sik1
入数	jap6 sou3
入笭	jap6 leng1
八卦	baat3 gwaa3
八卦妹	baat3 gwaa3 mui6
八卦妹	baat3 gwaa3 mui1
八卦婆	baat3 gwaa3 po4
八卦婆	baat3 gwaa3 po2
八婆	baat3 po4
八月十五	baat3 jyut6 sap6 m5
八月十五	baat3 jyut6 sap6 ng5
八月十五	baat3 jyut6 sap6 m5
八爪鱼	baat3 zau2 jyu4
八音	baat3 jam1
公	gung1
公	gung1
公事包	gung1 si6 baau1
公仔	gung1 zai2
公仔书	gung1 zai2 syu1
公仔佬	gung1 zai2 lou2
公公	gung1 gung1
公头	gung1 tau4
公头	gung1 tau2
公证	gung1 zing3
公证	gung1 zing3
关事	gwaan1 si6
关人	gwaan1 jan4
兵哥	bing1 go1
兵士	bing1 si6
兼夹	gim1 gaap3
兼队	gim1 deoi6
兼队	gim1 deoi2
内笼	noi6 lung4
内笼	noi6 lung2
冇	mou5
冇	mou5
冇𪐀㨢	mou5 naa1 nang3
冇修	mou5 sau1
冇修	mou5 sau1
冇修	mou5 sau1
冇几何	mou5 gei2 ho4
冇几何	mou5 gei2 ho2
冇几耐	mou5 gei2 noi6
冇制	mou5 zai3
冇制	mou5 zai2
